"REF_DATE","GEO","DGUID","Value and volume","Type of beverage","Type of product","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1995","Canada","","Value in dollars","Liqueurs","Canadian products","Dollars","81","thousands","3","v20856582","1.1.6.2","77494","","","","0"
"1996","Canada","","Value in dollars","Liqueurs","Canadian products","Dollars","81","thousands","3","v20856582","1.1.6.2","73235","","","","0"
"1997","Canada","","Value in dollars","Liqueurs","Canadian products","Dollars","81","thousands","3","v20856582","1.1.6.2","73108","","","","0"
"1998","Canada","","Value in dollars","Liqueurs","Canadian products","Dollars","81","thousands","3","v20856582","1.1.6.2","76056","","","","0"
"1999","Canada","","Value in dollars","Liqueurs","Canadian products","Dollars","81","thousands","3","v20856582","1.1.6.2","77459","","","","0"
"2000","Canada","","Value in dollars","Liqueurs","Canadian products","Dollars","81","thousands","3","v20856582","1.1.6.2","82214","","","","0"
"2001","Canada","","Value in dollars","Liqueurs","Canadian products","Dollars","81","thousands","3","v20856582","1.1.6.2","90404","","","","0"
"2002","Canada","","Value in dollars","Liqueurs","Canadian products","Dollars","81","thousands","3","v20856582","1.1.6.2","92451","","","","0"
"2003","Canada","","Value in dollars","Liqueurs","Canadian products","Dollars","81","thousands","3","v20856582","1.1.6.2","111368","","","","0"
"2004","Canada","","Value in dollars","Liqueurs","Canadian products","Dollars","81","thousands","3","v20856582","1.1.6.2","104575","","","","0"
"2005","Canada","","Value in dollars","Liqueurs","Canadian products","Dollars","81","thousands","3","v20856582","1.1.6.2","114488","","","","0"
"2006","Canada","","Value in dollars","Liqueurs","Canadian products","Dollars","81","thousands","3","v20856582","1.1.6.2","119376","","","","0"
"2007","Canada","","Value in dollars","Liqueurs","Canadian products","Dollars","81","thousands","3","v20856582","1.1.6.2","131006","","","","0"
"2008","Canada","","Value in dollars","Liqueurs","Canadian products","Dollars","81","thousands","3","v20856582","1.1.6.2","138267","","","","0"
"2009","Canada","","Value in dollars","Liqueurs","Canadian products","Dollars","81","thousands","3","v20856582","1.1.6.2","134548","","","","0"
"2010","Canada","","Value in dollars","Liqueurs","Canadian products","Dollars","81","thousands","3","v20856582","1.1.6.2","131242","","","","0"
"2011","Canada","","Value in dollars","Liqueurs","Canadian products","Dollars","81","thousands","3","v20856582","1.1.6.2","133649","","","","0"
"2012","Canada","","Value in dollars","Liqueurs","Canadian products","Dollars","81","thousands","3","v20856582","1.1.6.2","137280","","","","0"
"2013","Canada","","Value in dollars","Liqueurs","Canadian products","Dollars","81","thousands","3","v20856582","1.1.6.2","142559","","","","0"
"1993","Canada","","Value in dollars","Liqueurs","Import products","Dollars","81","thousands","3","v20856599","1.1.6.3","213079","","","","0"
"1994","Canada","","Value in dollars","Liqueurs","Import products","Dollars","81","thousands","3","v20856599","1.1.6.3","217349","","","","0"
"1995","Canada","","Value in dollars","Liqueurs","Import products","Dollars","81","thousands","3","v20856599","1.1.6.3","231390","","","","0"
"1996","Canada","","Value in dollars","Liqueurs","Import products","Dollars","81","thousands","3","v20856599","1.1.6.3","243471","","","","0"
"1997","Canada","","Value in dollars","Liqueurs","Import products","Dollars","81","thousands","3","v20856599","1.1.6.3","261420","","","","0"
"1998","Canada","","Value in dollars","Liqueurs","Import products","Dollars","81","thousands","3","v20856599","1.1.6.3","268988","","","","0"
"1999","Canada","","Value in dollars","Liqueurs","Import products","Dollars","81","thousands","3","v20856599","1.1.6.3","286726","","","","0"
"2000","Canada","","Value in dollars","Liqueurs","Import products","Dollars","81","thousands","3","v20856599","1.1.6.3","314432","","","","0"
"2001","Canada","","Value in dollars","Liqueurs","Import products","Dollars","81","thousands","3","v20856599","1.1.6.3","338303","","","","0"
"2002","Canada","","Value in dollars","Liqueurs","Import products","Dollars","81","thousands","3","v20856599","1.1.6.3","354605","","","","0"
"2003","Canada","","Value in dollars","Liqueurs","Import products","Dollars","81","thousands","3","v20856599","1.1.6.3","365479","","","","0"
"2004","Canada","","Value in dollars","Liqueurs","Import products","Dollars","81","thousands","3","v20856599","1.1.6.3","374297","","","","0"
"2005","Canada","","Value in dollars","Liqueurs","Import products","Dollars","81","thousands","3","v20856599","1.1.6.3","368826","","","","0"
"2006","Canada","","Value in dollars","Liqueurs","Import products","Dollars","81","thousands","3","v20856599","1.1.6.3","405607","","","","0"
"2007","Canada","","Value in dollars","Liqueurs","Import products","Dollars","81","thousands","3","v20856599","1.1.6.3","456120","","","","0"
"2008","Canada","","Value in dollars","Liqueurs","Import products","Dollars","81","thousands","3","v20856599","1.1.6.3","458994","","","","0"
"2009","Canada","","Value in dollars","Liqueurs","Import products","Dollars","81","thousands","3","v20856599","1.1.6.3","455299","","","","0"
"2010","Canada","","Value in dollars","Liqueurs","Import products","Dollars","81","thousands","3","v20856599","1.1.6.3","434655","","","","0"
"2011","Canada","","Value in dollars","Liqueurs","Import products","Dollars","81","thousands","3","v20856599","1.1.6.3","436516","","","","0"
"2012","Canada","","Value in dollars","Liqueurs","Import products","Dollars","81","thousands","3","v20856599","1.1.6.3","444073","","","","0"
"2013","Canada","","Value in dollars","Liqueurs","Import products","Dollars","81","thousands","3","v20856599","1.1.6.3","494111","","","","0"
"1993","Canada","","Value in dollars","Rum","Total products","Dollars","81","thousands","3","v20856617","1.1.7.1","539381","","","","0"
"1994","Canada","","Value in dollars","Rum","Total products","Dollars","81","thousands","3","v20856617","1.1.7.1","542913","","","","0"
"1995","Canada","","Value in dollars","Rum","Total products","Dollars","81","thousands","3","v20856617","1.1.7.1","533841","","","","0"
"1996","Canada","","Value in dollars","Rum","Total products","Dollars","81","thousands","3","v20856617","1.1.7.1","529807","","","","0"
"1997","Canada","","Value in dollars","Rum","Total products","Dollars","81","thousands","3","v20856617","1.1.7.1","536101","","","","0"
"1998","Canada","","Value in dollars","Rum","Total products","Dollars","81","thousands","3","v20856617","1.1.7.1","568552","","","","0"
"1999","Canada","","Value in dollars","Rum","Total products","Dollars","81","thousands","3","v20856617","1.1.7.1","581464","","","","0"
"2000","Canada","","Value in dollars","Rum","Total products","Dollars","81","thousands","3","v20856617","1.1.7.1","594961","","","","0"
"2001","Canada","","Value in dollars","Rum","Total products","Dollars","81","thousands","3","v20856617","1.1.7.1","609402","","","","0"
"2002","Canada","","Value in dollars","Rum","Total products","Dollars","81","thousands","3","v20856617","1.1.7.1","618022","","","","0"
"2003","Canada","","Value in dollars","Rum","Total products","Dollars","81","thousands","3","v20856617","1.1.7.1","705084","","","","0"
"2004","Canada","","Value in dollars","Rum","Total products","Dollars","81","thousands","3","v20856617","1.1.7.1","650210","","","","0"
"2005","Canada","","Value in dollars","Rum","Total products","Dollars","81","thousands","3","v20856617","1.1.7.1","677411","","","","0"
"2006","Canada","","Value in dollars","Rum","Total products","Dollars","81","thousands","3","v20856617","1.1.7.1","711551","","","","0"
"2007","Canada","","Value in dollars","Rum","Total products","Dollars","81","thousands","3","v20856617","1.1.7.1","749285","","","","0"
"2008","Canada","","Value in dollars","Rum","Total products","Dollars","81","thousands","3","v20856617","1.1.7.1","785342","","","","0"
"2009","Canada","","Value in dollars","Rum","Total products","Dollars","81","thousands","3","v20856617","1.1.7.1","819534","","","","0"
"2010","Canada","","Value in dollars","Rum","Total products","Dollars","81","thousands","3","v20856617","1.1.7.1","843214","","","","0"
"2011","Canada","","Value in dollars","Rum","Total products","Dollars","81","thousands","3","v20856617","1.1.7.1","877601","","","","0"
"2012","Canada","","Value in dollars","Rum","Total products","Dollars","81","thousands","3","v20856617","1.1.7.1","906140","","","","0"
"2013","Canada","","Value in dollars","Rum","Total products","Dollars","81","thousands","3","v20856617","1.1.7.1","943552","","","","0"
"1993","Canada","","Value in dollars","Rum","Canadian products","Dollars","81","thousands","3","v20856583","1.1.7.2","493933","","","","0"
"1994","Canada","","Value in dollars","Rum","Canadian products","Dollars","81","thousands","3","v20856583","1.1.7.2","498254","","","","0"
"1995","Canada","","Value in dollars","Rum","Canadian products","Dollars","81","thousands","3","v20856583","1.1.7.2","491403","","","","0"
"1996","Canada","","Value in dollars","Rum","Canadian products","Dollars","81","thousands","3","v20856583","1.1.7.2","485649","","","","0"
"1997","Canada","","Value in dollars","Rum","Canadian products","Dollars","81","thousands","3","v20856583","1.1.7.2","488550","","","","0"
"1998","Canada","","Value in dollars","Rum","Canadian products","Dollars","81","thousands","3","v20856583","1.1.7.2","523153","","","","0"
"1999","Canada","","Value in dollars","Rum","Canadian products","Dollars","81","thousands","3","v20856583","1.1.7.2","537309","","","","0"
"2000","Canada","","Value in dollars","Rum","Canadian products","Dollars","81","thousands","3","v20856583","1.1.7.2","548037","","","","0"
"2001","Canada","","Value in dollars","Rum","Canadian products","Dollars","81","thousands","3","v20856583","1.1.7.2","555134","","","","0"
"2002","Canada","","Value in dollars","Rum","Canadian products","Dollars","81","thousands","3","v20856583","1.1.7.2","559770","","","","0"
"2003","Canada","","Value in dollars","Rum","Canadian products","Dollars","81","thousands","3","v20856583","1.1.7.2","644982","","","","0"
"2004","Canada","","Value in dollars","Rum","Canadian products","Dollars","81","thousands","3","v20856583","1.1.7.2","581884","","","","0"
"2005","Canada","","Value in dollars","Rum","Canadian products","Dollars","81","thousands","3","v20856583","1.1.7.2","590733","","","","0"
"2006","Canada","","Value in dollars","Rum","Canadian products","Dollars","81","thousands","3","v20856583","1.1.7.2","609714","","","","0"
"2007","Canada","","Value in dollars","Rum","Canadian products","Dollars","81","thousands","3","v20856583","1.1.7.2","657397","","","","0"
"2008","Canada","","Value in dollars","Rum","Canadian products","Dollars","81","thousands","3","v20856583","1.1.7.2","681581","","","","0"
"2009","Canada","","Value in dollars","Rum","Canadian products","Dollars","81","thousands","3","v20856583","1.1.7.2","701323","","","","0"
"2010","Canada","","Value in dollars","Rum","Canadian products","Dollars","81","thousands","3","v20856583","1.1.7.2","724363","","","","0"
"2011","Canada","","Value in dollars","Rum","Canadian products","Dollars","81","thousands","3","v20856583","1.1.7.2","746891","","","","0"
"2012","Canada","","Value in dollars","Rum","Canadian products","Dollars","81","thousands","3","v20856583","1.1.7.2","762525","","","","0"
"2013","Canada","","Value in dollars","Rum","Canadian products","Dollars","81","thousands","3","v20856583","1.1.7.2","764324","","","","0"
"1993","Canada","","Value in dollars","Rum","Import products","Dollars","81","thousands","3","v20856600","1.1.7.3","45448","","","","0"
"1994","Canada","","Value in dollars","Rum","Import products","Dollars","81","thousands","3","v20856600","1.1.7.3","44659","","","","0"
"1995","Canada","","Value in dollars","Rum","Import products","Dollars","81","thousands","3","v20856600","1.1.7.3","42438","","","","0"
"1996","Canada","","Value in dollars","Rum","Import products","Dollars","81","thousands","3","v20856600","1.1.7.3","44158","","","","0"
"1997","Canada","","Value in dollars","Rum","Import products","Dollars","81","thousands","3","v20856600","1.1.7.3","47551","","","","0"
"1998","Canada","","Value in dollars","Rum","Import products","Dollars","81","thousands","3","v20856600","1.1.7.3","45398","","","","0"
"1999","Canada","","Value in dollars","Rum","Import products","Dollars","81","thousands","3","v20856600","1.1.7.3","44155","","","","0"
"2000","Canada","","Value in dollars","Rum","Import products","Dollars","81","thousands","3","v20856600","1.1.7.3","46924","","","","0"
"2001","Canada","","Value in dollars","Rum","Import products","Dollars","81","thousands","3","v20856600","1.1.7.3","54268","","","","0"
"2002","Canada","","Value in dollars","Rum","Import products","Dollars","81","thousands","3","v20856600","1.1.7.3","58252","","","","0"
"2003","Canada","","Value in dollars","Rum","Import products","Dollars","81","thousands","3","v20856600","1.1.7.3","60102","","","","0"
"2004","Canada","","Value in dollars","Rum","Import products","Dollars","81","thousands","3","v20856600","1.1.7.3","68326","","","","0"
"2005","Canada","","Value in dollars","Rum","Import products","Dollars","81","thousands","3","v20856600","1.1.7.3","86678","","","","0"
"2006","Canada","","Value in dollars","Rum","Import products","Dollars","81","thousands","3","v20856600","1.1.7.3","101838","","","","0"
"2007","Canada","","Value in dollars","Rum","Import products","Dollars","81","thousands","3","v20856600","1.1.7.3","91888","","","","0"
"2008","Canada","","Value in dollars","Rum","Import products","Dollars","81","thousands","3","v20856600","1.1.7.3","103761","","","","0"
"2009","Canada","","Value in dollars","Rum","Import products","Dollars","81","thousands","3","v20856600","1.1.7.3","118210","","","","0"
"2010","Canada","","Value in dollars","Rum","Import products","Dollars","81","thousands","3","v20856600","1.1.7.3","118851","","","","0"
