"REF_DATE","GEO","DGUID","Age","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009/2010","Ontario","2016A000235","Total, age","Total, sex","Number","223","units","0","v65926860","7.1.1","147330","","","","0"
"2010/2011","Ontario","2016A000235","Total, age","Total, sex","Number","223","units","0","v65926860","7.1.1","147075","","","","0"
"2011/2012","Ontario","2016A000235","Total, age","Total, sex","Number","223","units","0","v65926860","7.1.1","149139","","","","0"
"2012/2013","Ontario","2016A000235","Total, age","Total, sex","Number","223","units","0","v65926860","7.1.1","151704","","","","0"
"2013/2014","Ontario","2016A000235","Total, age","Total, sex","Number","223","units","0","v65926860","7.1.1","149502","","","","0"
"2014/2015","Ontario","2016A000235","Total, age","Total, sex","Number","223","units","0","v65926860","7.1.1","145383","","","","0"
"2015/2016","Ontario","2016A000235","Total, age","Total, sex","Number","223","units","0","v65926860","7.1.1","142806","","","","0"
"2016/2017","Ontario","2016A000235","Total, age","Total, sex","Number","223","units","0","v65926860","7.1.1","141849","","","","0"
"2017/2018","Ontario","2016A000235","Total, age","Total, sex","Number","223","units","0","v65926860","7.1.1","139179","","","","0"
"2018/2019","Ontario","2016A000235","Total, age","Total, sex","Number","223","units","0","v65926860","7.1.1","143301","","","","0"
"2002/2003","Manitoba","2016A000246","Total, age","Total, sex","Number","223","units","0","v65926884","8.1.1","10722","","","","0"
"2003/2004","Manitoba","2016A000246","Total, age","Total, sex","Number","223","units","0","v65926884","8.1.1","11028","","","","0"
"2004/2005","Manitoba","2016A000246","Total, age","Total, sex","Number","223","units","0","v65926884","8.1.1","10809","","","","0"
"2005/2006","Manitoba","2016A000246","Total, age","Total, sex","Number","223","units","0","v65926884","8.1.1","10917","","","","0"
"2006/2007","Manitoba","2016A000246","Total, age","Total, sex","Number","223","units","0","v65926884","8.1.1","11250","","","","0"
"2007/2008","Manitoba","2016A000246","Total, age","Total, sex","Number","223","units","0","v65926884","8.1.1","11472","","","","0"
"2008/2009","Manitoba","2016A000246","Total, age","Total, sex","Number","223","units","0","v65926884","8.1.1","11457","","","","0"
"2009/2010","Manitoba","2016A000246","Total, age","Total, sex","Number","223","units","0","v65926884","8.1.1","11235","","","","0"
"2010/2011","Manitoba","2016A000246","Total, age","Total, sex","Number","223","units","0","v65926884","8.1.1","11643","","","","0"
"2011/2012","Manitoba","2016A000246","Total, age","Total, sex","Number","223","units","0","v65926884","8.1.1","11961","","","","0"
"2012/2013","Manitoba","2016A000246","Total, age","Total, sex","Number","223","units","0","v65926884","8.1.1","11988","","","","0"
"2013/2014","Manitoba","2016A000246","Total, age","Total, sex","Number","223","units","0","v65926884","8.1.1","11985","","","","0"
"2014/2015","Manitoba","2016A000246","Total, age","Total, sex","Number","223","units","0","v65926884","8.1.1","11463","","","","0"
"2015/2016","Manitoba","2016A000246","Total, age","Total, sex","Number","223","units","0","v65926884","8.1.1","11553","","","","0"
"2016/2017","Manitoba","2016A000246","Total, age","Total, sex","Number","223","units","0","v65926884","8.1.1","11595","","","","0"
"2017/2018","Manitoba","2016A000246","Total, age","Total, sex","Number","223","units","0","v65926884","8.1.1","11814","","","","0"
"2018/2019","Manitoba","2016A000246","Total, age","Total, sex","Number","223","units","0","v65926884","8.1.1","11943","","","","0"
"2002/2003","Saskatchewan","2016A000247","Total, age","Total, sex","Number","223","units","0","v65926908","9.1.1","11493","","","","0"
"2003/2004","Saskatchewan","2016A000247","Total, age","Total, sex","Number","223","units","0","v65926908","9.1.1","11100","","","","0"
"2004/2005","Saskatchewan","2016A000247","Total, age","Total, sex","Number","223","units","0","v65926908","9.1.1","11094","","","","0"
"2005/2006","Saskatchewan","2016A000247","Total, age","Total, sex","Number","223","units","0","v65926908","9.1.1","11085","","","","0"
"2006/2007","Saskatchewan","2016A000247","Total, age","Total, sex","Number","223","units","0","v65926908","9.1.1","10998","","","","0"
